dataset,pred_len,activation,amplitude,lee_type,baseline_activation,factor,sample_count,seed_count,relative_target_mse_change_mean_end_minus_start,target_win_rate_end_minus_start,aggregate_relative_target_mse_change_end_minus_start,relative_target_mse_change_spearman,target_win_spearman,factor_conditioned,aggregate_factor_conditioned,source_host
Solar5,24,tanh_rand,0.1,1,tanh,turbulence_score,41952,3,0.0048793475998957,-0.0099334016196409,-0.0729641364887356,-0.0232320473666184,-0.0157257883558487,False,True,10.21.53.142
Solar5,24,tanh_rand,0.1,1,tanh,volatility,41952,3,-0.0191664490306597,-0.0178318921627772,-0.0663809441030025,-0.0197676130779746,-0.0145887433171305,False,True,10.21.53.142
Solar5,24,tanh_sin,0.01,1,tanh,turbulence_score,41952,3,-0.075105971404336,-0.0642436467023859,-0.1430056616663932,-0.0707929494314947,-0.0559614097757383,True,True,10.21.53.142
Solar5,24,tanh_sin,0.01,1,tanh,volatility,41952,3,-0.0504125486595717,-0.060912002290355,-0.1422181501984596,-0.0581705324787867,-0.0447446080591803,False,True,10.21.53.142
Solar5,24,tanh_sin,0.1,1,tanh,turbulence_score,41952,3,0.1654409611984404,0.0010421993658176,-0.0479804947972297,-0.0098993432114316,-0.0045728883626008,True,False,10.21.53.142
Solar5,24,tanh_sin,0.1,1,tanh,volatility,41952,3,0.1102258597467734,-0.0071447758273256,-0.0659087470266968,-0.0060411331502228,-0.0037010360952468,True,True,10.21.53.142
Solar1,96,tanh,0.0,1,gelu,turbulence_score,41760,3,,,,,,False,False,10.21.53.162
Solar1,96,tanh,0.0,1,gelu,volatility,41760,3,,,,,,False,False,10.21.53.162
Solar1,96,tanh_cos,0.01,1,tanh,turbulence_score,41760,3,-0.1648468211396502,-0.0648119688795185,-0.0810706727206707,-0.0524038449183784,-0.0412270769233117,True,True,10.21.53.162
Solar1,96,tanh_cos,0.01,1,tanh,volatility,41760,3,-0.067181617246678,-0.0534565739628019,-0.0641106013208627,-0.0614207755466698,-0.0563538673841708,True,True,10.21.53.162
Solar1,96,tanh_cos,0.1,1,tanh,turbulence_score,41760,3,-0.1754502893043506,-0.0710186300455371,-0.1124922819435596,-0.0535898266200212,-0.0485644094761498,True,True,10.21.53.162
Solar1,96,tanh_cos,0.1,1,tanh,volatility,41760,3,-0.1155318080781271,-0.0838499859143377,-0.1388820856809616,-0.0824650933766614,-0.0771713858368003,True,True,10.21.53.162
Solar1,96,tanh_rand,0.01,1,tanh,turbulence_score,41760,3,-0.0784624547410505,0.0137641766519746,-0.0341800227761268,-0.0047036684312043,0.0154403371195852,True,False,10.21.53.162
Solar1,96,tanh_rand,0.01,1,tanh,volatility,41760,3,0.0046199066073968,0.0316620064454616,-0.0185667090117931,0.0131848603278596,0.0245039826162966,False,False,10.21.53.162
Solar1,96,tanh_rand,0.1,1,tanh,turbulence_score,41760,3,-0.076999054335934,-0.0608727993192717,-0.0447360835969448,-0.0254287994515886,-0.0395946854305074,True,False,10.21.53.162
Solar1,96,tanh_rand,0.1,1,tanh,volatility,41760,3,-0.0148474248622695,-0.0736076425250435,-0.0720123760402202,-0.0729115459070066,-0.0769830067338012,False,True,10.21.53.162
Solar1,96,tanh_sin,0.01,1,tanh,turbulence_score,41760,3,-0.0295113823863878,0.0223214771142587,-0.0184143697842955,0.0080779063302861,0.0145965330704191,False,False,10.21.53.162
Solar1,96,tanh_sin,0.01,1,tanh,volatility,41760,3,0.018980738253862,0.0042513161256632,-0.0172309707850217,-0.0058863197271958,-0.00294691293093,False,False,10.21.53.162
Solar1,96,tanh_sin,0.1,1,tanh,turbulence_score,41760,3,-0.0824416512937553,-0.0228534242256843,0.0173092633485794,-0.0309458684403363,-0.0252450693113679,True,False,10.21.53.162
Solar1,96,tanh_sin,0.1,1,tanh,volatility,41760,3,0.000446068936451,-0.0314812493791262,-0.0028534494340419,-0.0413544578944367,-0.0368067401474465,False,False,10.21.53.162
Solar5,96,tanh,0.0,1,gelu,turbulence_score,41760,3,,,,,,False,False,10.21.53.162
Solar5,96,tanh,0.0,1,gelu,volatility,41760,3,,,,,,False,False,10.21.53.162
Solar5,96,tanh_cos,0.01,1,tanh,turbulence_score,41760,3,0.0813704053638204,0.0252678575765882,0.0627670362591743,0.0408188913796037,0.0261032165463524,True,True,10.21.53.162
Solar5,96,tanh_cos,0.01,1,tanh,volatility,41760,3,0.0569003970761015,0.0070457472362389,0.0513447932898998,0.0283503499041252,0.0115804102180955,True,False,10.21.53.162
Solar5,96,tanh_cos,0.1,1,tanh,turbulence_score,41760,3,0.0285176607439099,-0.0075183003809029,0.0763081461191177,0.0229806834676438,0.0124371106668291,True,True,10.21.53.162
Solar5,96,tanh_cos,0.1,1,tanh,volatility,41760,3,0.0103763061345624,0.0140765099044161,0.0854716338217258,0.0155903084592639,0.0095619481492397,True,True,10.21.53.162
Solar5,96,tanh_rand,0.01,1,tanh,turbulence_score,41760,3,-0.0540678991632888,-0.0414152473014461,0.0394001919776201,-0.0426562373842713,-0.0404583802561606,False,False,10.21.53.162
Solar5,96,tanh_rand,0.01,1,tanh,volatility,41760,3,-0.105910865004801,-0.0525968839832402,0.028976397588849,-0.0510701764631037,-0.047378946225852,True,False,10.21.53.162
Solar5,96,tanh_rand,0.1,1,tanh,turbulence_score,41760,3,-0.0311662499947523,-0.0377224632732708,-0.0253360234200954,-0.0366076946030524,-0.0340632811183819,False,False,10.21.53.162
Solar5,96,tanh_rand,0.1,1,tanh,volatility,41760,3,-0.0939084510421723,-0.0487422496947081,-0.0294162780046463,-0.041301280875188,-0.038508641490561,True,False,10.21.53.162
Solar5,96,tanh_sin,0.01,1,tanh,turbulence_score,41760,3,0.1502652213336898,-0.006223861896369,0.0486217569559812,0.0341268168415779,0.0084356666706834,True,False,10.21.53.162
Solar5,96,tanh_sin,0.01,1,tanh,volatility,41760,3,0.1153854772191919,-0.0001644635517966,0.0440554302185773,0.026480334905344,0.002544386985966,True,False,10.21.53.162
Solar5,96,tanh_sin,0.1,1,tanh,turbulence_score,41760,3,-0.0944179411539485,-0.0483699824698851,0.023287437390536,-0.0131423397582944,-0.0235356543061659,True,False,10.21.53.162
Solar5,96,tanh_sin,0.1,1,tanh,volatility,41760,3,-0.1656165616136489,-0.0530058343474169,-0.0042581707239151,-0.0227699927619429,-0.0275752146006831,True,False,10.21.53.162
ETTh1,168,lee,0.0,1,tanh,turbulence_score,8112,3,0.013631332697351,-0.0075693092716615,0.028354488313198,0.1366028675680627,0.1090631426601072,True,True,10.21.53.62
ETTh1,168,lee,0.0,1,tanh,volatility,8112,3,-0.1417924162626003,-0.2875472900313714,-0.1487400755286216,-0.3278258328454058,-0.2566992086333312,True,True,10.21.53.62
ETTh1,168,lee,0.0,3,tanh,turbulence_score,8112,3,0.0321331059850337,0.0162810896687478,0.0131539702415466,-0.2298238116502005,-0.0482242794475112,True,True,10.21.53.62
ETTh1,168,lee,0.0,3,tanh,volatility,8112,3,0.4305054597924625,0.1049404299274929,0.4102470874786377,0.6884921652118531,0.2061442282002783,True,True,10.21.53.62
