target,feature,feature_group,n,spearman,pearson,abs_spearman
oracle_gain_vs_gelu,input_trend_consistency,input,36,0.439539224798449,0.6468190946856772,0.439539224798449
gain_outtanh_vs_tanh,input_upside_volatility,input,36,-0.43809523809523815,-0.2786944165235641,0.43809523809523815
gain_outtanh_vs_tanh,input_skewness,input,36,-0.4375804375804376,-0.3459837172872163,0.4375804375804376
gain_tanh_all_vs_gelu,input_downside_volatility,input,36,-0.43629343629343637,-0.3887136317048049,0.43629343629343637
gain_outtanh_vs_tanh,input_realized_volatility,input,36,-0.436036036036036,-0.31986577051378146,0.436036036036036
gain_tanh_sin001_all_vs_gelu,input_downside_volatility,input,36,-0.43577863577863574,-0.36845501850185636,0.43577863577863574
static_gain_vs_gelu,input_downside_volatility,input,36,-0.43577863577863574,-0.36845501850185636,0.43577863577863574
oracle_gain_vs_gelu,input_std,input,36,-0.43542055563489107,-0.337634931144007,0.43542055563489107
gain_swish_all_vs_gelu,router_time_trend_to_noise_ratio,time,36,-0.435006435006435,-0.4432553098693556,0.435006435006435
gain_enc_gelu_dec_tanh_vs_gelu,router_time_near_zero_fraction,time,36,-0.4334620334620335,-0.3042578333499717,0.4334620334620335
gain_swish_all_vs_gelu,router_timefreq_rolling_spectral_entropy_std,timefreq,36,-0.4334620334620335,-0.4232088076313109,0.4334620334620335
gain_best_bounded_vs_gelu,input_lag1_autocorr,input,36,0.4326898326898327,0.6219899345750883,0.4326898326898327
gain_best_bounded_vs_gelu,router_time_trend_to_noise_ratio,time,36,-0.4326898326898327,-0.5263465455714488,0.4326898326898327
gain_tanh_sin001_all_vs_gelu,input_anomaly_density_intensity,input,36,-0.4326898326898327,-0.5002502616533462,0.4326898326898327
static_gain_vs_gelu,input_anomaly_density_intensity,input,36,-0.4326898326898327,-0.5002502616533462,0.4326898326898327
gain_best_bounded_vs_gelu,router_time_robust_scale_ratio,time,36,-0.4314028314028315,-0.3912112900516452,0.4314028314028315
oracle_gain_vs_gelu,router_freq_harmonic_energy_ratio,freq,36,-0.4302722191804436,-0.22721183273434026,0.4302722191804436
gain_best_bounded_vs_gelu,input_std,input,36,-0.43011583011583016,-0.3263025088021352,0.43011583011583016
gain_softsign_all_vs_gelu,input_downside_volatility,input,36,-0.42574002574002573,-0.3638742513795791,0.42574002574002573
gain_best_bounded_vs_gelu,input_trend,input,36,0.42548262548262555,0.40418742605414193,0.42548262548262555
gain_softsign_all_vs_gelu,router_freq_high_freq_noise_share,freq,36,-0.42522522522522527,-0.3360052482428561,0.42522522522522527
gain_softsign_all_vs_gelu,router_freq_seasonal_peak_strength,freq,36,-0.4231660231660232,-0.23167417914005542,0.4231660231660232
gain_swish_all_vs_gelu,router_time_late_early_level_shift,time,36,-0.4226512226512227,-0.004623007707473591,0.4226512226512227
oracle_gain_vs_gelu,input_range,input,36,-0.4225497144987725,-0.33541658964686777,0.4225497144987725
oracle_gain_vs_gelu,input_upside_volatility,input,36,-0.42177746403060534,-0.333678511641693,0.42177746403060534
oracle_gain_vs_gelu,input_max_drawup,input,36,-0.42100521356243825,-0.3378466656459409,0.42100521356243825
gain_softsign_all_vs_gelu,input_lag1_autocorr,input,36,0.4195624195624196,0.6059985102902735,0.4195624195624196
gain_softsign_all_vs_gelu,router_time_trend_to_noise_ratio,time,36,-0.4195624195624196,-0.4617849753338451,0.4195624195624196
gain_tanh_sin001_all_vs_gelu,input_reversal_rate,input,36,-0.4195624195624196,-0.5810455523439387,0.4195624195624196
static_gain_vs_gelu,input_reversal_rate,input,36,-0.4195624195624196,-0.5810455523439387,0.4195624195624196
oracle_gain_vs_gelu,input_reversal_rate,input,36,-0.41946071262610407,-0.5962171200016976,0.41946071262610407
gain_outtanh_vs_tanh,router_multivar_missing_or_constant_channel_ratio,multivar,36,-0.41707752912712753,-0.7028253681658088,0.41707752912712753
gain_tanh_all_vs_gelu,input_volatility_shock,input,36,0.4167310167310167,0.34727900438972353,0.4167310167310167
gain_best_bounded_vs_gelu,input_anomaly_density_intensity,input,36,-0.41570141570141567,-0.4847118738302406,0.41570141570141567
gain_softsign_all_vs_gelu,router_time_robust_scale_ratio,time,36,-0.4151866151866152,-0.35499284409046106,0.4151866151866152
gain_softsign_all_vs_gelu,input_turbulence_score,input,36,-0.414929214929215,-0.23804276578241407,0.414929214929215
gain_best_bounded_vs_gelu,input_volatility,input,36,-0.4146718146718147,-0.5366815692730577,0.4146718146718147
