feature,inner_mean_gain_vs_static,inner_positive_vs_static_rate,inner_mean_regret_vs_oracle,inner_top1_hit_rate,outer_mode,outer_fold
router_time_outlier_mass_z3,-0.06128113330498197,0.02857142857142857,0.11401726342550522,0.14285714285714285,loco,"('ETTh2', 168)"
router_time_late_early_level_shift,-0.005241906959432966,0.3142857142857143,0.052197852087731714,0.22857142857142856,loco,"('ETTh2', 336)"
input_volatility_ratio_late_early,-0.007135297009383097,0.2571428571428571,0.05421089496801705,0.22857142857142856,loco,"('ETTh2', 336)"
router_time_iqr_mad_ratio,-0.008514938278691146,0.11428571428571428,0.05559883349321734,0.14285714285714285,loco,"('ETTh2', 336)"
router_multivar_target_channel_dominance,-0.008529773513436638,0.2857142857142857,0.05541633888294948,0.22857142857142856,loco,"('ETTh2', 336)"
router_time_near_zero_fraction,-0.010654071575237975,0.2571428571428571,0.057658660724766796,0.2,loco,"('ETTh2', 336)"
router_multivar_channel_heterogeneity_cv,-0.012227535009394578,0.2,0.059275533492965125,0.14285714285714285,loco,"('ETTh2', 336)"
router_time_robust_scale_ratio,-0.02126442322500109,0.11428571428571428,0.06859179603270867,0.14285714285714285,loco,"('ETTh2', 336)"
router_timefreq_rolling_spectral_entropy_std,-0.0222014373603138,0.2571428571428571,0.06965039393321228,0.2,loco,"('ETTh2', 336)"
router_freq_dominant_period_to_horizon_ratio,-0.023413819123047203,0.14285714285714285,0.0710631939936464,0.11428571428571428,loco,"('ETTh2', 336)"
input_cv,-0.02577853821964058,0.17142857142857143,0.07290996206116414,0.11428571428571428,loco,"('ETTh2', 336)"
router_timefreq_burstiness_index,-0.029216001277249826,0.14285714285714285,0.07874809549381417,0.11428571428571428,loco,"('ETTh2', 336)"
router_multivar_cross_channel_mean_abs_corr,-0.03883702845246939,0.05714285714285714,0.08745587217025665,0.17142857142857143,loco,"('ETTh2', 336)"
router_freq_harmonic_energy_ratio,-0.04883983125944387,0.11428571428571428,0.09976922391906566,0.2,loco,"('ETTh2', 336)"
router_freq_seasonal_peak_strength,-0.0492705793223214,0.2,0.1001732341799937,0.14285714285714285,loco,"('ETTh2', 336)"
router_time_outlier_mass_z3,-0.06128113330498197,0.02857142857142857,0.112380466722739,0.17142857142857143,loco,"('ETTh2', 336)"
