dataset,pred_len,features,target,activation,encoder_activation,decoder_activation,output_activation,activation_signature,activation_family,amplitude,lee_type,baseline_activation,baseline_activation_signature,factor,factor_bin,sample_count,seed_count,baseline_target_mse_mean,activation_target_mse_mean,target_mse_delta_mean,aggregate_relative_target_mse_change,relative_target_mse_change_mean,target_win_rate,baseline_all_mse_mean,activation_all_mse_mean,all_mse_delta_mean,aggregate_relative_all_mse_change,relative_all_mse_change_mean,all_win_rate
Solar1,96,M,Power,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,bounded_sign,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,turbulence_score,high,13863,3,0.1267893,0.115222394,0.011566907,0.091229364,-0.24391364036522117,0.5309817499819663,0.19770129,0.20281334,-0.005112052,-0.025857454,-0.12539757538712146,0.46714275409363054
Solar1,96,M,Power,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,sin_perturb,0.01,1,tanh,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,turbulence_score,low,10234,3,0.27788737,0.29046088,-0.01257351,-0.045246784,-0.20161695883158268,0.4879812390072308,0.26377273,0.2584328,0.0053399205,0.0202444,-0.06105897239150289,0.5185655657611882
Solar1,96,M,Power,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,sin_perturb,0.01,1,tanh,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,turbulence_score,mid,17663,3,0.1693191,0.17110622,-0.0017871261,-0.010554782,-0.20852539732233982,0.497480609183038,0.21946242,0.22594747,-0.006485045,-0.029549683,-0.09661754769861529,0.480439336466059
Solar1,96,M,Power,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,sin_perturb,0.01,1,tanh,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,turbulence_score,high,13863,3,0.115222394,0.118903324,-0.0036809295,-0.0319463,-0.2822399559318637,0.49202914232128686,0.20281334,0.21178165,-0.008968309,-0.04421952,-0.14668733524090735,0.45682752650941355
Solar5,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,turbulence_score,low,17559,3,0.35237208,0.29429632,0.058075756,0.16481373,-0.22714788251558699,0.5903525257702603,0.21845624,0.19364676,0.02480948,0.11356728,-0.04192895548213163,0.5720143516145566
Solar5,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,turbulence_score,mid,10217,3,0.26279193,0.25226414,0.01052779,0.040061314,-0.3888177913770602,0.49995106195556427,0.20372638,0.19829203,0.005434349,0.026674744,-0.15966216063596003,0.49662327493393366
Solar5,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,turbulence_score,high,13984,3,0.2052839,0.19465484,0.010629058,0.05177736,-0.32585916782954416,0.5264588100686499,0.15996546,0.15066573,0.009299725,0.058135834,-0.13781165322540528,0.5248855835240275
Solar5,96,M,Power,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,bounded_sign,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,turbulence_score,low,17559,3,0.35237208,0.31952846,0.03284362,0.09320721,-0.49794703589301537,0.5738937297112592,0.21845624,0.20453584,0.013920397,0.06372167,-0.12600672634538385,0.5761148129164531
Solar5,96,M,Power,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,bounded_sign,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,turbulence_score,mid,10275,3,0.2617456,0.25409016,0.0076554418,0.029247642,-0.3684656252236366,0.5171776155717761,0.20310827,0.19810228,0.0050059855,0.024646882,-0.17904634535074263,0.5175669099756691
Solar5,96,M,Power,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,bounded_sign,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,turbulence_score,high,13926,3,0.2058164,0.2012494,0.0045669973,0.022189666,-0.2736592603094594,0.5331035473215568,0.16023928,0.1543663,0.0058729798,0.036651313,-0.13283835278033518,0.5284360189573459
