target,feature,spearman,pearson,abs_spearman
oracle_nonbaseline,input_mean_reversion_strength,,,
oracle_nonbaseline,input_jump_intensity,,,
oracle_nonbaseline,input_tail_ratio,,,
oracle_nonbaseline,input_max_drawdown,,,
oracle_nonbaseline,input_max_drawup,,,
oracle_nonbaseline,input_direction_entropy,,,
oracle_nonbaseline,input_spectral_entropy,,,
oracle_nonbaseline,input_dominant_frequency_energy_ratio,,,
oracle_nonbaseline,input_top3_frequency_energy_ratio,,,
oracle_nonbaseline,input_low_freq_energy_ratio,,,
oracle_nonbaseline,input_mid_freq_energy_ratio,,,
oracle_nonbaseline,input_high_freq_energy_ratio,,,
oracle_nonbaseline,input_spectral_centroid,,,
oracle_nonbaseline,input_spectral_bandwidth,,,
oracle_nonbaseline,input_spectral_flatness,,,
oracle_nonbaseline,input_daily_cycle_energy_ratio,,,
oracle_nonbaseline,router_time_robust_scale_ratio,,,
oracle_nonbaseline,router_time_iqr_mad_ratio,,,
oracle_nonbaseline,router_time_outlier_mass_z3,,,
oracle_nonbaseline,router_time_late_early_level_shift,,,
oracle_nonbaseline,router_time_local_roughness_ratio,,,
oracle_nonbaseline,router_time_trend_to_noise_ratio,,,
oracle_nonbaseline,router_time_dynamic_range_log,,,
oracle_nonbaseline,router_time_near_zero_fraction,,,
oracle_nonbaseline,router_norm_normalization_drift_score,,,
oracle_nonbaseline,router_freq_seasonal_peak_strength,,,
oracle_nonbaseline,router_freq_harmonic_energy_ratio,,,
oracle_nonbaseline,router_freq_spectral_entropy,,,
oracle_nonbaseline,router_freq_high_freq_noise_share,,,
oracle_nonbaseline,router_freq_dominant_period_to_horizon_ratio,,,
oracle_nonbaseline,router_timefreq_rolling_spectral_entropy_std,,,
oracle_nonbaseline,router_timefreq_dominant_frequency_drift,,,
oracle_nonbaseline,router_timefreq_burstiness_index,,,
oracle_nonbaseline,router_timefreq_phase_concentration,,,
oracle_nonbaseline,router_multivar_cross_channel_mean_abs_corr,,,
oracle_nonbaseline,router_multivar_correlation_condition_number,,,
oracle_nonbaseline,router_multivar_channel_heterogeneity_cv,,,
oracle_nonbaseline,router_multivar_target_channel_dominance,,,
oracle_nonbaseline,router_multivar_missing_or_constant_channel_ratio,,,
oracle_nonbaseline,pred_len,,,
oracle_nonbaseline,seq_len,,,
oracle_nonbaseline,pred_to_seq_ratio,,,
oracle_nonbaseline,e_layers,,,
oracle_nonbaseline,d_layers,,,
oracle_nonbaseline,d_model,,,
oracle_nonbaseline,n_heads,,,
oracle_nonbaseline,d_ff,,,
oracle_nonbaseline,ffn_to_model_ratio,,,
oracle_nonbaseline,batch_size,,,
oracle_nonbaseline,train_epochs,,,
oracle_nonbaseline,patch_len,,,
oracle_nonbaseline,stride,,,
oracle_nonbaseline,patch_to_seq_ratio,,,
oracle_nonbaseline,has_patch,,,
oracle_nonbaseline,has_decoder,,,
oracle_nonbaseline,is_informer,,,
oracle_nonbaseline,is_patchtst,,,
oracle_nonbaseline,is_itransformer,,,
oracle_nonbaseline,scope_has_output_tanh,,,
oracle_nonbaseline,scope_config_count,,,
