model_scope,dataset,pred_len,seq_len,label_len,e_layers,d_layers,factor,action,action_config,action_mse,baseline_config,baseline_mse,oracle_mse,static_mse,oracle_action,static_config,action_gain_vs_baseline,action_regret_vs_oracle,action_gain_vs_static
Informer-fullgrid,ETTm2,288,672,288,2,1,5,bounded_linear,tanh_sin001_all,2.525360733333333,gelu_all,5.329461733333333,2.3545683,2.525360733333333,output_tanh,tanh_sin001_all,0.5261508835801629,0.0725366230970379,0.0
Informer-fullgrid,ETTm2,288,672,288,2,1,5,other_linear,swish_all,3.7056002666666665,gelu_all,5.329461733333333,2.3545683,2.525360733333333,output_tanh,tanh_sin001_all,0.30469521087095147,0.5737917930291794,-0.4673548288586415
Informer-fullgrid,ETTm2,288,672,288,2,1,5,output_tanh,tanh_all_outtanh,2.3545683,gelu_all,5.329461733333333,2.3545683,2.525360733333333,output_tanh,tanh_sin001_all,0.5581977284360149,0.0,0.06763090558864314
Informer-fullgrid,ETTm2,672,672,384,2,1,5,baseline,gelu_all,7.812617166666667,gelu_all,7.812617166666667,2.8509023666666664,3.069366666666667,output_tanh,tanh_sin001_all,0.0,1.7404015156791703,-1.545351538319523
Informer-fullgrid,ETTm2,672,672,384,2,1,5,bounded_linear,tanh_sin001_all,3.069366666666667,gelu_all,7.812617166666667,2.8509023666666664,3.069366666666667,output_tanh,tanh_sin001_all,0.6071269587146245,0.07662987780792835,0.0
Informer-fullgrid,ETTm2,672,672,384,2,1,5,other_linear,swish_all,6.361067633333334,gelu_all,7.812617166666667,2.8509023666666664,3.069366666666667,output_tanh,tanh_sin001_all,0.18579555382881402,1.2312470983602375,-1.0724365395684234
Informer-fullgrid,ETTm2,672,672,384,2,1,5,output_tanh,tanh_all_outtanh,2.8509023666666664,gelu_all,7.812617166666667,2.8509023666666664,3.069366666666667,output_tanh,tanh_sin001_all,0.6350899697440271,0.0,0.07117569313973579
Informer-fullgrid,Solar1,24,96,48,2,1,5,baseline,gelu_all,0.15319326,gelu_all,0.15319326,0.1504306033333333,0.1543040433333333,other_linear,tanh_sin001_all,0.0,0.018364990935687688,0.0071986664078124915
Informer-fullgrid,Solar1,24,96,48,2,1,5,bounded_linear,tanh_sin001_all,0.1543040433333333,gelu_all,0.15319326,0.1504306033333333,0.1543040433333333,other_linear,tanh_sin001_all,-0.007250862951368157,0.025749015919433637,0.0
Informer-fullgrid,Solar1,24,96,48,2,1,5,other_linear,swish_all,0.1504306033333333,gelu_all,0.15319326,0.1504306033333333,0.1543040433333333,other_linear,tanh_sin001_all,0.018033800355620713,0.0,0.025102647450608
Informer-fullgrid,Solar1,24,96,48,2,1,5,output_tanh,tanh_all_outtanh,0.37361291,gelu_all,0.15319326,0.1504306033333333,0.1543040433333333,other_linear,tanh_sin001_all,-1.4388338625341612,1.4836230243132493,-1.421277511133701
Informer-fullgrid,Solar1,96,96,48,2,1,5,baseline,gelu_all,0.2299245,gelu_all,0.2299245,0.2238896466666666,0.22920594,bounded_linear,tanh_sin001_all,0.0,0.026954588669829204,-0.003134997286719563
Informer-fullgrid,Solar1,96,96,48,2,1,5,bounded_linear,softsign_all,0.2238896466666666,gelu_all,0.2299245,0.2238896466666666,0.22920594,bounded_linear,tanh_sin001_all,0.026247108652333245,0.0,0.02319439598002298
Informer-fullgrid,Solar1,96,96,48,2,1,5,other_linear,swish_all,0.2263062533333333,gelu_all,0.2299245,0.2238896466666666,0.22920594,bounded_linear,tanh_sin001_all,0.015736672980333603,0.010793740142279093,0.012651010120709379
Informer-fullgrid,Solar1,96,96,48,2,1,5,output_tanh,tanh_all_outtanh,0.4052433433333333,gelu_all,0.2299245,0.2238896466666666,0.22920594,bounded_linear,tanh_sin001_all,-0.7625061415087704,0.8100137695811871,-0.768031593480227
Informer-fullgrid,Solar2,24,96,48,2,1,5,baseline,gelu_all,0.07067754,gelu_all,0.07067754,0.0660672966666666,0.0661700833333333,bounded_linear,tanh_sin001_all,0.0,0.0697810197470883,-0.06811925328792902
Informer-fullgrid,Solar2,24,96,48,2,1,5,bounded_linear,tanh_all,0.0660672966666666,gelu_all,0.07067754,0.0660672966666666,0.0661700833333333,bounded_linear,tanh_sin001_all,0.06522925576262845,0.0,0.0015533706697770258
Informer-fullgrid,Solar2,24,96,48,2,1,5,other_linear,swish_all,0.0671418033333333,gelu_all,0.07067754,0.0660672966666666,0.0661700833333333,bounded_linear,tanh_sin001_all,0.050026311989165045,0.01626382069313333,-0.014685186281313078
Informer-fullgrid,Solar2,24,96,48,2,1,5,output_tanh,tanh_all_outtanh,0.2056468266666666,gelu_all,0.07067754,0.0660672966666666,0.0661700833333333,bounded_linear,tanh_sin001_all,-1.909648902135906,2.1126871696329457,-2.1078520126794467
Informer-fullgrid,Solar2,96,96,48,2,1,5,baseline,gelu_all,0.121002457,gelu_all,0.121002457,0.1079668713333333,0.1099318786666666,bounded_linear,tanh_sin001_all,0.0,0.12073690295628801,-0.10070398566462603
Informer-fullgrid,Solar2,96,96,48,2,1,5,bounded_linear,tanh_all,0.1079668713333333,gelu_all,0.121002457,0.1079668713333333,0.1099318786666666,bounded_linear,tanh_sin001_all,0.10772992540694191,0.0,0.017874772606147803
Informer-fullgrid,Solar2,96,96,48,2,1,5,other_linear,swish_all,0.1152985366666666,gelu_all,0.121002457,0.1079668713333333,0.1099318786666666,bounded_linear,tanh_sin001_all,0.04713888027359139,0.06790662026963594,-0.04881803226771637
Informer-fullgrid,Solar2,96,96,48,2,1,5,output_tanh,tanh_all_outtanh,0.2251895366666666,gelu_all,0.121002457,0.1079668713333333,0.1099318786666666,bounded_linear,tanh_sin001_all,-0.8610327612328287,1.0857280931242694,-1.048446177741419
Informer-fullgrid,Solar3,24,96,48,2,1,5,baseline,gelu_all,0.19754754,gelu_all,0.19754754,0.19754754,0.1996140866666666,baseline,tanh_sin001_all,0.0,0.0,0.010352709576641838
Informer-fullgrid,Solar3,24,96,48,2,1,5,bounded_linear,tanh_all,0.1991079066666666,gelu_all,0.19754754,0.19754754,0.1996140866666666,baseline,tanh_sin001_all,-0.00789868943276448,0.00789868943276448,0.0025357929816108593
Informer-fullgrid,Solar3,24,96,48,2,1,5,other_linear,swish_all,0.1992145633333333,gelu_all,0.19754754,0.19754754,0.1996140866666666,baseline,tanh_sin001_all,-0.008438593228411223,0.008438593228411223,0.0020014786531597733
Informer-fullgrid,Solar3,24,96,48,2,1,5,output_tanh,tanh_all_outtanh,0.38798477,gelu_all,0.19754754,0.19754754,0.1996140866666666,baseline,tanh_sin001_all,-0.9640070941910994,0.9640070941910994,-0.9436742991384748
Informer-fullgrid,Solar3,96,96,48,2,1,5,baseline,gelu_all,0.3490070666666667,gelu_all,0.3490070666666667,0.3490070666666667,0.3582779566666667,baseline,tanh_sin001_all,0.0,0.0,0.025876250066440433
Informer-fullgrid,Solar3,96,96,48,2,1,5,bounded_linear,softsign_all,0.3575025799999999,gelu_all,0.3490070666666667,0.3490070666666667,0.3582779566666667,baseline,tanh_sin001_all,-0.024341952197338135,0.024341952197338135,0.0021641763112659586
Informer-fullgrid,Solar3,96,96,48,2,1,5,other_linear,relu_all,0.35771535,gelu_all,0.3490070666666667,0.3490070666666667,0.3582779566666667,baseline,tanh_sin001_all,-0.024951596013528535,0.024951596013528535,0.0015703077909147596
Informer-fullgrid,Solar3,96,96,48,2,1,5,output_tanh,tanh_all_outtanh,0.4572354966666667,gelu_all,0.3490070666666667,0.3490070666666667,0.3582779566666667,baseline,tanh_sin001_all,-0.31010383552883164,0.31010383552883164,-0.27620326106768484
Informer-fullgrid,Solar4,24,96,48,2,1,5,baseline,gelu_all,0.22417717,gelu_all,0.22417717,0.2198203,0.2198203,bounded_linear,tanh_sin001_all,0.0,0.0198201439994396,-0.0198201439994396
